,coverage,num,experiment
0,0.027847976986733147,81,uniform_biased_grid-walk_biased_multiple_testing
1,0.02717193640472884,81,uniform_biased_RRT_biased_filter_testing
2,0.03939443914983438,81,uniform_biased_RRT_biased_no_filter_testing
3,0.028007950751575982,81,uniform_biased_RRT_biased_filter_wide_testing
4,0.025797831228590393,81,uniform_biased_grid-walk_biased_single_testing
5,0.03195305379611727,81,uniform_biased___testing
6,0.031050559111331047,81,uniform_biased_RRT_biased_no_fitler_wide_testing
7,0.026923620396687137,39,uniform_biased_grid-walk_biased_multiple_testing
8,0.037251561654638665,39,uniform_biased_RRT_biased_filter_testing
9,0.04440233714468189,39,uniform_biased_RRT_biased_no_filter_testing
10,0.03175061594442083,39,uniform_biased_RRT_biased_filter_wide_testing
11,0.027315801652282142,39,uniform_biased_grid-walk_biased_single_testing
12,0.032860413273706625,39,uniform_biased___testing
13,0.0351209361489678,39,uniform_biased_RRT_biased_no_fitler_wide_testing
14,0.026144289467854735,21,uniform_biased_grid-walk_biased_multiple_testing
15,0.039953047183242885,21,uniform_biased_RRT_biased_filter_testing
16,0.04104362723859385,21,uniform_biased_RRT_biased_no_filter_testing
17,0.028651303972148708,21,uniform_biased_RRT_biased_filter_wide_testing
18,0.02623713721334141,21,uniform_biased_grid-walk_biased_single_testing
19,0.03140927355585591,21,uniform_biased___testing
20,0.0352602045521638,21,uniform_biased_RRT_biased_no_fitler_wide_testing
21,0.027048142172111624,28,uniform_biased_grid-walk_biased_multiple_testing
22,0.03286092964532027,28,uniform_biased_RRT_biased_filter_testing
23,0.03636052643091843,28,uniform_biased_RRT_biased_no_filter_testing
24,0.029457449456830397,28,uniform_biased_RRT_biased_filter_wide_testing
25,0.026571544013853348,28,uniform_biased_grid-walk_biased_single_testing
26,0.030817099298497703,28,uniform_biased___testing
27,0.039153778974582554,28,uniform_biased_RRT_biased_no_fitler_wide_testing
28,0.026920720375396293,45,uniform_biased_grid-walk_biased_multiple_testing
29,0.036472999524612006,45,uniform_biased_RRT_biased_filter_testing
30,0.05647108605048631,45,uniform_biased_RRT_biased_no_filter_testing
31,0.028569814272067107,45,uniform_biased_RRT_biased_filter_wide_testing
32,0.026773447626523204,45,uniform_biased_grid-walk_biased_single_testing
33,0.03145076592994743,45,uniform_biased___testing
34,0.0362580951360158,45,uniform_biased_RRT_biased_no_fitler_wide_testing
35,0.027907854986215022,57,uniform_biased_grid-walk_biased_multiple_testing
36,0.027431857049354455,57,uniform_biased_RRT_biased_filter_testing
37,0.03554452078938749,57,uniform_biased_RRT_biased_no_filter_testing
38,0.027075196918445597,57,uniform_biased_RRT_biased_filter_wide_testing
39,0.026684638033786536,57,uniform_biased_grid-walk_biased_single_testing
40,0.03156362673785893,57,uniform_biased___testing
41,0.03237861946618825,57,uniform_biased_RRT_biased_no_fitler_wide_testing
42,0.027594269497340666,5,uniform_biased_grid-walk_biased_multiple_testing
43,0.029961142868557278,5,uniform_biased_RRT_biased_filter_testing
44,0.041551553659407554,5,uniform_biased_RRT_biased_no_filter_testing
45,0.028542491273140673,5,uniform_biased_RRT_biased_filter_wide_testing
46,0.026568801670803607,5,uniform_biased_grid-walk_biased_single_testing
47,0.031461230126693863,5,uniform_biased___testing
48,0.03718035270721439,5,uniform_biased_RRT_biased_no_fitler_wide_testing
