,experiment,num,variance
0,reference_sphere___testing,0,6.572057523991029e-05
1,reference_sphere___testing,1,6.028723287849138e-05
2,reference_sphere___testing,10,4.63554839212852e-05
3,reference_sphere___testing,11,5.102071538425402e-05
4,reference_sphere___testing,12,3.720895518799233e-05
5,reference_sphere___testing,13,4.7454971730434925e-05
6,reference_sphere___testing,14,5.465769931441715e-05
7,reference_sphere___testing,15,6.678205001160231e-05
8,reference_sphere___testing,16,4.2114571658635675e-05
9,reference_sphere___testing,17,5.052615917505929e-05
10,reference_sphere___testing,18,5.491019364852056e-05
11,reference_sphere___testing,19,4.807869643737307e-05
12,reference_sphere___testing,2,6.533154531350906e-05
13,reference_sphere___testing,20,8.417673227260539e-05
14,reference_sphere___testing,21,5.363384199690179e-05
15,reference_sphere___testing,22,5.478093532461595e-05
16,reference_sphere___testing,23,3.483414134816965e-05
17,reference_sphere___testing,24,3.396705152117766e-05
18,reference_sphere___testing,25,8.13343224979953e-05
19,reference_sphere___testing,26,4.7046069796118805e-05
20,reference_sphere___testing,27,7.573447601417852e-05
21,reference_sphere___testing,28,6.143013986206506e-05
22,reference_sphere___testing,29,7.691920554566957e-05
23,reference_sphere___testing,3,6.619431372667432e-05
24,reference_sphere___testing,30,4.574179256916449e-05
25,reference_sphere___testing,31,5.089754109746445e-05
26,reference_sphere___testing,32,5.7793516010881783e-05
27,reference_sphere___testing,33,5.578332575768241e-05
28,reference_sphere___testing,34,5.8166692079292236e-05
29,reference_sphere___testing,35,5.953150478364647e-05
30,reference_sphere___testing,36,4.103294618235549e-05
31,reference_sphere___testing,37,6.074227791357865e-05
32,reference_sphere___testing,38,4.837902256943408e-05
33,reference_sphere___testing,39,9.249415057701127e-05
34,reference_sphere___testing,4,6.971240102524696e-05
35,reference_sphere___testing,40,5.230852519099602e-05
36,reference_sphere___testing,41,4.2896019282283646e-05
37,reference_sphere___testing,42,8.528586470727694e-05
38,reference_sphere___testing,43,4.161930785427328e-05
39,reference_sphere___testing,44,5.262010050477677e-05
40,reference_sphere___testing,45,6.883434593782716e-05
41,reference_sphere___testing,46,5.3636731674061155e-05
42,reference_sphere___testing,47,6.344611805198529e-05
43,reference_sphere___testing,48,5.6179019394015255e-05
44,reference_sphere___testing,49,4.356484289916293e-05
45,reference_sphere___testing,5,6.985414136516828e-05
46,reference_sphere___testing,50,4.713494879617784e-05
47,reference_sphere___testing,51,3.2100976132559387e-05
48,reference_sphere___testing,52,4.872931684380973e-05
49,reference_sphere___testing,53,3.308152150852216e-05
50,reference_sphere___testing,54,9.777057048141518e-05
51,reference_sphere___testing,55,3.4595982937446636e-05
52,reference_sphere___testing,56,4.132262205324556e-05
53,reference_sphere___testing,57,6.305340823142172e-05
54,reference_sphere___testing,58,7.051736017433857e-05
55,reference_sphere___testing,59,7.784682293201169e-05
56,reference_sphere___testing,6,6.248178336397148e-05
57,reference_sphere___testing,60,5.4138474089011154e-05
58,reference_sphere___testing,61,7.96005996083185e-05
59,reference_sphere___testing,62,6.828510876173459e-05
60,reference_sphere___testing,63,4.522830116371689e-05
61,reference_sphere___testing,64,5.3167327571376546e-05
62,reference_sphere___testing,65,6.248569436298201e-05
63,reference_sphere___testing,66,7.227251387189916e-05
64,reference_sphere___testing,67,3.735749141044793e-05
65,reference_sphere___testing,68,3.997308408792169e-05
66,reference_sphere___testing,69,2.466893595351003e-05
67,reference_sphere___testing,7,0.00010065296698158032
68,reference_sphere___testing,70,5.904055383689279e-05
69,reference_sphere___testing,71,5.228508328023967e-05
70,reference_sphere___testing,72,5.8368800573473e-05
71,reference_sphere___testing,73,4.0640534685224655e-05
72,reference_sphere___testing,74,8.513845734487026e-05
73,reference_sphere___testing,75,3.5200579508868805e-05
74,reference_sphere___testing,76,8.437558691273853e-05
75,reference_sphere___testing,77,6.725976565376045e-05
76,reference_sphere___testing,78,6.973861788603596e-05
77,reference_sphere___testing,79,5.301238965712365e-05
78,reference_sphere___testing,8,4.0877074403056465e-05
79,reference_sphere___testing,80,5.4321075840166054e-05
80,reference_sphere___testing,81,4.94127417549479e-05
81,reference_sphere___testing,82,9.041375582894073e-05
82,reference_sphere___testing,83,4.6320001305056944e-05
83,reference_sphere___testing,84,8.390962158914329e-05
84,reference_sphere___testing,85,5.2453113211909446e-05
85,reference_sphere___testing,86,6.695587094094645e-05
86,reference_sphere___testing,87,3.697452945746916e-05
87,reference_sphere___testing,88,3.461128144957046e-05
88,reference_sphere___testing,89,7.012969585296247e-05
89,reference_sphere___testing,9,3.6748232196695026e-05
90,reference_sphere___testing,90,4.684227900057509e-05
91,reference_sphere___testing,91,5.5180886560050935e-05
92,reference_sphere___testing,92,5.3738542309145784e-05
93,reference_sphere___testing,93,6.260930990897809e-05
94,reference_sphere___testing,94,7.552214843677941e-05
95,reference_sphere___testing,95,6.0611560520615816e-05
96,reference_sphere___testing,96,5.882247541105733e-05
97,reference_sphere___testing,97,5.7390720955046786e-05
98,reference_sphere___testing,98,5.164669564361944e-05
99,reference_sphere___testing,99,8.909065786194212e-05
100,uniform_biased_RRT_biased_filter_testing,0,0.001830068506409512
101,uniform_biased_RRT_biased_filter_testing,1,0.002104047991063833
102,uniform_biased_RRT_biased_filter_testing,10,0.0023339226646557124
103,uniform_biased_RRT_biased_filter_testing,11,0.0020321810428988334
104,uniform_biased_RRT_biased_filter_testing,12,0.0009960588939886962
105,uniform_biased_RRT_biased_filter_testing,13,0.0015420619292121642
106,uniform_biased_RRT_biased_filter_testing,14,0.0010985076539642448
107,uniform_biased_RRT_biased_filter_testing,15,0.0013179547935983568
108,uniform_biased_RRT_biased_filter_testing,16,0.0017362398273744525
109,uniform_biased_RRT_biased_filter_testing,17,0.0019416412086774193
110,uniform_biased_RRT_biased_filter_testing,18,0.0018096744276223688
111,uniform_biased_RRT_biased_filter_testing,19,0.001247116441875933
112,uniform_biased_RRT_biased_filter_testing,2,0.002007299861701685
113,uniform_biased_RRT_biased_filter_testing,20,0.0020599070169530676
114,uniform_biased_RRT_biased_filter_testing,21,0.0018545231612391911
115,uniform_biased_RRT_biased_filter_testing,22,0.002538790562538953
116,uniform_biased_RRT_biased_filter_testing,23,0.001394643249733265
117,uniform_biased_RRT_biased_filter_testing,24,0.00202712838851738
118,uniform_biased_RRT_biased_filter_testing,25,0.001524049975703465
119,uniform_biased_RRT_biased_filter_testing,26,0.0013860492278132245
120,uniform_biased_RRT_biased_filter_testing,27,0.0024153886774076804
121,uniform_biased_RRT_biased_filter_testing,28,0.001257728789915587
122,uniform_biased_RRT_biased_filter_testing,29,0.0021650993328096633
123,uniform_biased_RRT_biased_filter_testing,3,0.0013754405124873272
124,uniform_biased_RRT_biased_filter_testing,30,0.0018591318678444527
125,uniform_biased_RRT_biased_filter_testing,31,0.0017359108421873646
126,uniform_biased_RRT_biased_filter_testing,32,0.0027294528701680785
127,uniform_biased_RRT_biased_filter_testing,33,0.0026385694916058237
128,uniform_biased_RRT_biased_filter_testing,34,0.002481498688432471
129,uniform_biased_RRT_biased_filter_testing,35,0.0023078071778044533
130,uniform_biased_RRT_biased_filter_testing,36,0.004602152684308498
131,uniform_biased_RRT_biased_filter_testing,37,0.0018955606003458634
132,uniform_biased_RRT_biased_filter_testing,38,0.003527953347379093
133,uniform_biased_RRT_biased_filter_testing,39,0.0032369218547734103
134,uniform_biased_RRT_biased_filter_testing,4,0.002517456826917332
135,uniform_biased_RRT_biased_filter_testing,40,0.0018527817864383482
136,uniform_biased_RRT_biased_filter_testing,41,0.0012555194553049407
137,uniform_biased_RRT_biased_filter_testing,42,0.0011245100865592828
138,uniform_biased_RRT_biased_filter_testing,43,0.003357183409360714
139,uniform_biased_RRT_biased_filter_testing,44,0.002127991587836057
140,uniform_biased_RRT_biased_filter_testing,45,0.001923681219829318
141,uniform_biased_RRT_biased_filter_testing,46,0.00205480892710245
142,uniform_biased_RRT_biased_filter_testing,47,0.0023497919238087165
143,uniform_biased_RRT_biased_filter_testing,48,0.001440357607483106
144,uniform_biased_RRT_biased_filter_testing,49,0.0016224575466226236
145,uniform_biased_RRT_biased_filter_testing,5,0.002301579684906382
146,uniform_biased_RRT_biased_filter_testing,50,0.0013487938926979067
147,uniform_biased_RRT_biased_filter_testing,51,0.0011362898813427125
148,uniform_biased_RRT_biased_filter_testing,52,0.0017236706701791768
149,uniform_biased_RRT_biased_filter_testing,53,0.0015339415413632533
150,uniform_biased_RRT_biased_filter_testing,54,0.0010734424507808642
151,uniform_biased_RRT_biased_filter_testing,55,0.0027854791733269877
152,uniform_biased_RRT_biased_filter_testing,56,0.00214617723663134
153,uniform_biased_RRT_biased_filter_testing,57,0.0020675049948198723
154,uniform_biased_RRT_biased_filter_testing,58,0.001591091392266139
155,uniform_biased_RRT_biased_filter_testing,59,0.0015519032665358846
156,uniform_biased_RRT_biased_filter_testing,6,0.002139916101607127
157,uniform_biased_RRT_biased_filter_testing,60,0.0010732914921919088
158,uniform_biased_RRT_biased_filter_testing,61,0.0014352727216577668
159,uniform_biased_RRT_biased_filter_testing,62,0.0018884799309727995
