3.011264 -1.352530 2.607310 0.559285 0.794295 2.748617 -0.438502 
3.012873 -1.360642 2.668450 0.564867 0.780862 2.745363 -0.394815 
3.001249 -1.347561 2.572722 0.561217 0.852624 2.739886 -0.477378 
2.999271 -1.373547 2.716098 0.589982 0.848669 2.732881 -0.404500 
3.003400 -1.348089 2.550031 0.576878 0.817059 2.741127 -0.502761 
2.990343 -1.352760 2.572245 0.593404 0.871423 2.726357 -0.382151 
3.009241 -1.336998 2.491769 0.557218 0.806190 2.747549 -0.540871 
2.991013 -1.352274 2.557138 0.598178 0.865278 2.728391 -0.297876 
2.988727 -1.345963 2.563161 0.564736 0.923263 2.727295 -0.454117 
3.004776 -1.331192 2.463559 0.553773 0.839760 2.742014 -0.610295 
3.024082 -1.338365 2.508450 0.542501 0.728316 2.759625 -0.577639 
2.971101 -1.359966 2.585334 0.619131 0.957330 2.707108 -0.394704 
2.991230 -1.342804 2.495641 0.595777 0.864125 2.729343 -0.320884 
3.036169 -1.329092 2.450295 0.518309 0.683013 2.769250 -0.541458 
3.048701 -1.332216 2.470131 0.508032 0.606257 2.778269 -0.511336 
2.991686 -1.376785 2.727423 0.593526 0.894392 2.725716 -0.330108 
3.029928 -1.363178 2.684263 0.544946 0.702747 2.773855 -0.389568 
3.033287 -1.338067 2.516501 0.527550 0.686489 2.768576 -0.647011 
3.039557 -1.358325 2.697604 0.534115 0.642725 2.769087 -0.318966 
2.955698 -1.363558 2.596309 0.626635 1.034148 2.689729 -0.409939 
2.992985 -1.343991 2.561542 0.555495 0.909612 2.731612 -0.365736 
3.022598 -1.340248 2.541201 0.536298 0.746485 2.758193 -0.652055 
3.038211 -1.356787 2.700016 0.529887 0.654981 2.765905 -0.451530 
2.999846 -1.346336 2.580982 0.551359 0.874054 2.738363 -0.281571 
3.004100 -1.336139 2.522522 0.539846 0.861906 2.742425 -0.222533 
3.033920 -1.331705 2.490328 0.514836 0.701006 2.767375 -0.693787 
3.038526 -1.337684 2.543092 0.513745 0.667009 2.769945 -0.741772 
2.988845 -1.338332 2.492781 0.578153 0.903384 2.727652 -0.654819 
3.047531 -1.351506 2.660487 0.514997 0.607515 2.778388 -0.266892 
2.977275 -1.350497 2.515265 0.625916 0.907034 2.715187 -0.289669 
3.048346 -1.323482 2.429093 0.490499 0.640456 2.777611 -0.697933 
2.972643 -1.358683 2.545301 0.643920 0.912567 2.709385 -0.364027 
2.984310 -1.390364 2.775831 0.617427 0.925725 2.713965 -0.314205 
2.986841 -1.380219 2.750415 0.590758 0.931292 2.719679 -0.384616 
2.990104 -1.391781 2.786717 0.619617 0.893067 2.719390 -0.239003 
2.983046 -1.398938 2.792918 0.644081 0.911120 2.709010 -0.238675 
