1.87847, 3.39161, 2.60839, 4.36075, 3.57753
5.53166, 2.46932, 3.53068, 4.1324, 5.19376
1.03219, 3.92819, 2.07181, 4.64659, 2.79021
0.999429, 1.63399, 4.36601, 2.34089, 5.07292
0.0534575, 1.94761, 4.05239, 2.1111, 4.21588
1.01541, 2.19705, 3.80295, 2.90959, 4.51548
0.131452, 2.20277, 3.79723, 2.45914, 4.0536
10.007, 2.57207, 3.42793, 4.80892, 5.66478
2.90896, 2.33683, 3.66317, 3.54285, 4.86919
0, 1.56641, 4.42788, 1.56641, 4.42788
0, 1.0652, 2.97155, 1.0652, 2.97155
0.293097, 1.16611, 4.83389, 1.54893, 5.21671
0, 1.62672, 3.60378, 1.62672, 3.60378
0, 1.51916, 2.43524, 1.51916, 2.43524
1.75359, 4, 2, 4.9957, 2.87303
2.89966, 1.84764, 4.15236, 3.05173, 5.35645
0.201413, 3.13322, 2.86678, 3.45056, 3.18413
1.35689, 2.72653, 3.27347, 3.55021, 4.09715
4.10535, 1.54162, 4.45838, 2.97433, 5.8911
0.788138, 1.54232, 4.45768, 2.17007, 5.08543
2.39069, 2.01366, 3.98634, 3.10698, 5.07966
2.34801, 1.5174, 4.4826, 2.60091, 5.56612
0, 2.13326, 3.40983, 2.13326, 3.40983
7.63234, 2.2774, 3.7226, 4.2309, 5.67611
0.713553, 1, 5, 1.27902, 5.79731
0, 3.10398, 2.34422, 3.10398, 2.34422
0.0889421, 1.55797, 4.44203, 1.76886, 4.65291
1.91395, 3.58268, 2.41732, 4.56093, 3.39557
0, 1.25669, 2.08009, 1.25669, 2.08009
0, 2.83081, 2.25238, 2.83081, 2.25238
1.68482, 1.03529, 4.96471, 1.95312, 5.88254
8.05012, 2.60258, 3.39742, 4.60883, 5.40368
0.0254712, 1.95381, 4.04619, 2.06666, 4.15904
1.18861, 1.72992, 4.27008, 2.50083, 5.04099
1.48098, 2.18962, 3.81038, 3.05014, 4.6709
0, 3.12643, 2.15712, 3.12643, 2.15712
3.06997, 1.51161, 4.48839, 2.75055, 5.72734
6.5054, 2.91971, 3.08029, 4.72324, 4.88381
0.59548, 1.59152, 4.40848, 2.13717, 4.95414
0.476395, 3.07186, 2.92814, 3.55992, 3.41619
0.0862546, 3.54377, 2.45623, 3.75145, 2.6639
