,experiment,num,coverage
0,uniform_biased_RRT_biased_off_center_disconnected,6,0.005293796803252196
1,uniform_biased_RRT_biased_off_center_disconnected,40,0.001388017921153598
2,uniform_biased_RRT_biased_off_center_disconnected,95,0.003076427145561194
3,uniform_biased_RRT_biased_off_center_disconnected,12,0.0007178821449128009
4,uniform_biased_RRT_biased_off_center_disconnected,49,0.000732404406008801
5,uniform_biased_RRT_biased_off_center_disconnected,72,0.0019186692167511975
6,uniform_biased_RRT_biased_off_center_disconnected,29,0.0005640740219417999
7,uniform_biased_RRT_biased_off_center_disconnected,19,0.0007665495347036021
8,uniform_biased_RRT_biased_off_center_disconnected,60,0.0020980707800045996
9,uniform_biased_RRT_biased_off_center_disconnected,63,0.004613061977505405
10,uniform_biased_RRT_biased_off_center_disconnected,83,0.0009339317341657997
11,uniform_biased_RRT_biased_off_center_disconnected,42,0.0015670237044963992
12,uniform_biased_RRT_biased_off_center_disconnected,56,0.0010523726071450003
13,uniform_biased_RRT_biased_off_center_disconnected,36,0.002774027910881394
14,uniform_biased_RRT_biased_off_center_disconnected,45,0.0007423902907058004
15,uniform_biased_RRT_biased_off_center_disconnected,50,0.0006192426917481989
16,uniform_biased_RRT_biased_off_center_disconnected,91,0.001299374870006002
17,uniform_biased_RRT_biased_off_center_disconnected,58,0.00036800537291079943
18,uniform_biased_RRT_biased_off_center_disconnected,67,0.004062558390672189
19,uniform_biased_RRT_biased_off_center_disconnected,61,0.0009844883575816012
20,uniform_biased_RRT_biased_off_center_disconnected,97,0.0022067415263733897
21,uniform_biased_RRT_biased_off_center_disconnected,52,0.0005690436243554012
22,uniform_biased_RRT_biased_off_center_disconnected,57,0.001371523067452602
23,uniform_biased_RRT_biased_off_center_disconnected,62,0.002196160155306403
24,uniform_biased_RRT_biased_off_center_disconnected,20,0.002449444714300991
25,uniform_biased_RRT_biased_off_center_disconnected,24,0.0014909600269389994
26,uniform_biased_RRT_biased_off_center_disconnected,8,0.0006515001483160004
27,uniform_biased_RRT_biased_off_center_disconnected,3,0.0005128692958986
28,uniform_biased_RRT_biased_off_center_disconnected,30,0.0027303962182594036
29,uniform_biased_RRT_biased_off_center_disconnected,53,0.003486189059139603
30,uniform_biased_RRT_biased_off_center_disconnected,2,0.0009376926724715963
31,uniform_biased_RRT_biased_off_center_disconnected,28,0.0008388480373441993
32,uniform_biased_RRT_biased_off_center_disconnected,96,0.004971273904543188
33,uniform_biased_RRT_biased_off_center_disconnected,77,0.0008170078418893997
34,uniform_biased_RRT_biased_off_center_disconnected,33,0.0022206317865204024
35,uniform_biased_RRT_biased_off_center_disconnected,26,0.0014835251392881993
36,uniform_biased_RRT_biased_off_center_disconnected,99,0.0031154028130796034
37,uniform_biased_RRT_biased_off_center_disconnected,15,0.000828332439369802
38,uniform_biased_RRT_biased_off_center_disconnected,90,0.0016036238837329982
39,uniform_biased_RRT_biased_off_center_disconnected,44,0.0021147034989108084
40,uniform_biased_RRT_biased_off_center_disconnected,78,0.004369291402856397
41,uniform_biased_RRT_biased_off_center_disconnected,13,0.0027126306059984
42,uniform_biased_RRT_biased_off_center_disconnected,68,0.0006984076985566005
43,uniform_biased_RRT_biased_off_center_disconnected,21,0.0029818681657642052
44,uniform_biased_RRT_biased_off_center_disconnected,65,0.0013945463735020017
45,uniform_biased_RRT_biased_off_center_disconnected,27,0.0007876814761666018
46,uniform_biased_RRT_biased_off_center_disconnected,92,0.000696774267940002
47,uniform_biased_RRT_biased_off_center_disconnected,76,0.0005445372600628
48,uniform_biased_RRT_biased_off_center_disconnected,38,0.003857733854816809
49,uniform_biased_RRT_biased_off_center_disconnected,74,0.0007012705072087987
50,uniform_biased_RRT_biased_off_center_disconnected,31,0.0015930862039187988
51,uniform_biased_RRT_biased_off_center_disconnected,48,0.0032477064219344045
52,uniform_biased_RRT_biased_off_center_disconnected,80,0.0011774569459526
53,uniform_biased_RRT_biased_off_center_disconnected,81,0.0013525631338560007
54,uniform_biased_RRT_biased_off_center_disconnected,64,0.0007062997187393993
55,uniform_biased_RRT_biased_off_center_disconnected,94,0.001220047990061197
56,uniform_biased_RRT_biased_off_center_disconnected,69,0.0013000834916556054
57,uniform_biased_RRT_biased_off_center_disconnected,85,0.0012265070737792014
58,uniform_biased_RRT_biased_off_center_disconnected,47,0.003677088870143406
59,uniform_biased_RRT_biased_off_center_disconnected,17,0.00513256245033102
60,uniform_biased_RRT_biased_off_center_disconnected,-1,0.0011544922685081988
61,uniform_biased_RRT_biased_off_center_disconnected,86,0.0022763975996687963
62,uniform_biased_RRT_biased_off_center_disconnected,98,0.002464638638918798
63,uniform_biased_RRT_biased_off_center_disconnected,73,0.0015818927706126034
64,uniform_biased_RRT_biased_off_center_disconnected,25,0.0005175061721795984
65,uniform_biased_RRT_biased_off_center_disconnected,37,0.0017981198968860031
66,uniform_biased_RRT_biased_off_center_disconnected,84,0.0017080973448214032
67,uniform_biased_RRT_biased_off_center_disconnected,70,0.004930481144848793
68,uniform_biased_RRT_biased_off_center_disconnected,87,0.0006511550029479995
69,uniform_biased_RRT_biased_off_center_disconnected,88,0.0024606635551724008
70,uniform_biased_RRT_biased_off_center_disconnected,11,0.004666625104976211
71,uniform_biased_RRT_biased_off_center_disconnected,66,0.002254581474971004
72,uniform_biased_RRT_biased_off_center_disconnected,10,0.0008026805977813993
73,uniform_biased_RRT_biased_off_center_disconnected,41,0.0023882430535011995
74,uniform_biased_RRT_biased_off_center_disconnected,75,0.0010373861455631997
75,uniform_biased_RRT_biased_off_center_disconnected,79,0.0028527680703208016
76,uniform_biased_RRT_biased_off_center_disconnected,43,0.0005361015750129994
77,uniform_biased_RRT_biased_off_center_disconnected,14,0.0028856934782738007
78,uniform_biased_RRT_biased_off_center_disconnected,46,0.0005294070969037998
79,uniform_biased_RRT_biased_off_center_disconnected,39,0.0018418431360057923
80,uniform_biased_RRT_biased_off_center_disconnected,82,0.0017007179935986001
81,uniform_biased_RRT_biased_off_center_disconnected,93,0.0008841893724987988
82,uniform_biased_RRT_biased_off_center_disconnected,4,0.0008643171277129986
83,uniform_biased_RRT_biased_off_center_disconnected,0,0.008125133119749177
